date,closing_price,volume,return_1d,return_7d,volume_log,closing_price_outlier
01-01-2025,131.04,5000,,,8.517393171,FALSE
02-01-2025,131.04,2000,0,,7.601402335,FALSE
03-01-2025,138.26,2000,0.05509768,,7.601402335,FALSE
04-01-2025,164.68,2000,0.191089252,,7.601402335,FALSE
05-01-2025,165.06,5000,0.002307505,,8.517393171,FALSE
06-01-2025,137.99,1500,-0.164000969,,7.313886832,FALSE
07-01-2025,151,5000,0.094282194,,8.517393171,FALSE
08-01-2025,151,1500,0,0.152319902,7.313886832,FALSE
09-01-2025,190.09,1500,0.258874172,0.450625763,7.313886832,FALSE
10-01-2025,135.16,1000,-0.288968383,-0.022421525,6.908754779,FALSE
11-01-2025,146.99,5000,0.087525895,-0.107420452,8.517393171,FALSE
12-01-2025,120.55,2000,-0.179876182,-0.269659518,7.601402335,FALSE
13-01-2025,168.97,2000,0.401659063,0.224509022,7.601402335,FALSE
14-01-2025,149.75,1500,-0.113748003,-0.008278146,7.313886832,FALSE
15-01-2025,149.75,1000,0,-0.008278146,6.908754779,FALSE
16-01-2025,180.33,5000,0.204207012,-0.0513441,8.517393171,FALSE
17-01-2025,162.83,1000,-0.097044308,0.204720331,6.908754779,FALSE
18-01-2025,147.76,1500,-0.092550513,0.005238452,7.313886832,FALSE
19-01-2025,164.34,5000,0.112208988,0.363251763,8.517393171,FALSE
20-01-2025,122.91,5000,-0.252099306,-0.272592768,8.517393171,FALSE
21-01-2025,101.11,2000,-0.177365552,-0.324808013,7.601402335,FALSE
22-01-2025,101.11,2000,0,-0.324808013,7.601402335,FALSE
23-01-2025,156.71,1000,0.549896153,-0.130982088,6.908754779,FALSE
24-01-2025,191.67,1000,0.223087231,0.177117239,6.908754779,FALSE
25-01-2025,167.01,2000,-0.128658632,0.130278831,7.601402335,FALSE
26-01-2025,193.82,1500,0.16052931,0.179384203,7.313886832,FALSE
27-01-2025,116.65,2000,-0.398152925,-0.050931576,7.601402335,FALSE
28-01-2025,145.41,2000,0.246549507,0.438136683,7.601402335,FALSE
29-01-2025,145.41,2000,0,0.438136683,7.601402335,FALSE
30-01-2025,123.02,1500,-0.153978406,-0.21498309,7.313886832,FALSE
